Idx,w_bc,min-bc-loss,min-total-loss
1.0000,0.0010,0.0010,0.0012
2.0000,0.0010,0.0011,0.0028
3.0000,0.0010,0.0011,0.0011
4.0000,0.0010,0.0011,0.0013
5.0000,0.0011,0.0010,0.0011
6.0000,0.0011,0.0011,0.0021
7.0000,0.0011,0.0011,0.0013
8.0000,0.0011,0.0010,0.0012
9.0000,0.0011,0.0012,0.0013
10.0000,0.0011,0.0012,0.0013
11.0000,0.0011,0.0012,0.0015
12.0000,0.0012,0.0012,0.0019
13.0000,0.0012,0.0012,0.0019
14.0000,0.0012,0.0013,0.0018
15.0000,0.0012,0.0013,0.0014
16.0000,0.0012,0.0013,0.0038
17.0000,0.0012,0.0013,0.0019
18.0000,0.0013,0.0013,0.0032
19.0000,0.0013,0.0013,0.0017
20.0000,0.0013,0.0013,0.0014
21.0000,0.0013,0.0014,0.0027
22.0000,0.0013,0.0014,0.0040
23.0000,0.0014,0.0014,0.0016
24.0000,0.0014,0.0014,0.0016
25.0000,0.0014,0.0015,0.0042
26.0000,0.0014,0.0015,0.0029
27.0000,0.0014,0.0015,0.0022
28.0000,0.0015,0.0015,0.0017
29.0000,0.0015,0.0015,0.0022
30.0000,0.0015,0.0014,0.0026
31.0000,0.0015,0.0016,0.0020
32.0000,0.0015,0.0016,0.0018
33.0000,0.0016,0.0016,0.0020
34.0000,0.0016,0.0016,0.0050
35.0000,0.0016,0.0017,0.0021
36.0000,0.0016,0.0017,0.0042
37.0000,0.0016,0.0017,0.0055
38.0000,0.0017,0.0017,0.0025
39.0000,0.0017,0.0018,0.0022
40.0000,0.0017,0.0018,0.0025
41.0000,0.0017,0.0018,0.0022
42.0000,0.0018,0.0018,0.0021
43.0000,0.0018,0.0019,0.0051
44.0000,0.0018,0.0019,0.0027
45.0000,0.0018,0.0019,0.0023
46.0000,0.0019,0.0019,0.0030
47.0000,0.0019,0.0020,0.0028
48.0000,0.0019,0.0020,0.0024
49.0000,0.0019,0.0020,0.0025
50.0000,0.0020,0.0021,0.0025
51.0000,0.0020,0.0021,0.0025
52.0000,0.0020,0.0021,0.0027
53.0000,0.0021,0.0021,0.0031
54.0000,0.0021,0.0022,0.0031
55.0000,0.0021,0.0022,0.0025
56.0000,0.0021,0.0022,0.0028
57.0000,0.0022,0.0021,0.0024
58.0000,0.0022,0.0023,0.0026
59.0000,0.0022,0.0023,0.0027
60.0000,0.0023,0.0024,0.0078
61.0000,0.0023,0.0024,0.0064
62.0000,0.0023,0.0024,0.0033
63.0000,0.0024,0.0025,0.0033
64.0000,0.0024,0.0025,0.0028
65.0000,0.0024,0.0025,0.0034
66.0000,0.0025,0.0025,0.0026
67.0000,0.0025,0.0026,0.0035
68.0000,0.0025,0.0026,0.0042
69.0000,0.0026,0.0027,0.0030
70.0000,0.0026,0.0027,0.0036
71.0000,0.0026,0.0028,0.0036
72.0000,0.0027,0.0028,0.0037
73.0000,0.0027,0.0026,0.0029
74.0000,0.0027,0.0029,0.0037
75.0000,0.0028,0.0029,0.0035
76.0000,0.0028,0.0029,0.0084
77.0000,0.0029,0.0030,0.0039
78.0000,0.0029,0.0030,0.0042
79.0000,0.0029,0.0025,0.0034
80.0000,0.0030,0.0031,0.0043
81.0000,0.0030,0.0032,0.0035
82.0000,0.0031,0.0032,0.0041
83.0000,0.0031,0.0032,0.0038
84.0000,0.0032,0.0025,0.0030
85.0000,0.0032,0.0033,0.0045
86.0000,0.0032,0.0034,0.0046
87.0000,0.0033,0.0034,0.0059
88.0000,0.0033,0.0035,0.0086
89.0000,0.0034,0.0030,0.0035
90.0000,0.0034,0.0036,0.0045
91.0000,0.0035,0.0036,0.0046
92.0000,0.0035,0.0037,0.0047
93.0000,0.0036,0.0035,0.0038
94.0000,0.0036,0.0038,0.0083
95.0000,0.0037,0.0032,0.0038
96.0000,0.0037,0.0030,0.0045
97.0000,0.0038,0.0039,0.0052
98.0000,0.0038,0.0040,0.0053
99.0000,0.0039,0.0041,0.0077
100.0000,0.0039,0.0041,0.0047
101.0000,0.0040,0.0042,0.0048
102.0000,0.0040,0.0042,0.0047
103.0000,0.0041,0.0043,0.0048
104.0000,0.0042,0.0043,0.0053
105.0000,0.0042,0.0038,0.0041
106.0000,0.0043,0.0045,0.0052
107.0000,0.0043,0.0045,0.0058
108.0000,0.0044,0.0032,0.0036
109.0000,0.0045,0.0047,0.0057
110.0000,0.0045,0.0047,0.0058
111.0000,0.0046,0.0048,0.0084
112.0000,0.0046,0.0049,0.0054
113.0000,0.0047,0.0049,0.0063
114.0000,0.0048,0.0050,0.0063
115.0000,0.0048,0.0048,0.0058
116.0000,0.0049,0.0051,0.0062
117.0000,0.0050,0.0034,0.0038
118.0000,0.0050,0.0053,0.0089
119.0000,0.0051,0.0053,0.0064
120.0000,0.0052,0.0054,0.0066
121.0000,0.0053,0.0055,0.0066
122.0000,0.0053,0.0056,0.0062
123.0000,0.0054,0.0056,0.0068
124.0000,0.0055,0.0057,0.0069
125.0000,0.0056,0.0058,0.0070
126.0000,0.0056,0.0059,0.0065
127.0000,0.0057,0.0060,0.0075
128.0000,0.0058,0.0061,0.0072
129.0000,0.0059,0.0061,0.0070
130.0000,0.0060,0.0062,0.0094
131.0000,0.0060,0.0063,0.0072
132.0000,0.0061,0.0064,0.0089
133.0000,0.0062,0.0062,0.0070
134.0000,0.0063,0.0066,0.0078
135.0000,0.0064,0.0067,0.0114
136.0000,0.0065,0.0068,0.0077
137.0000,0.0066,0.0046,0.0052
138.0000,0.0067,0.0069,0.0083
139.0000,0.0067,0.0070,0.0086
140.0000,0.0068,0.0071,0.0087
141.0000,0.0069,0.0069,0.0085
142.0000,0.0070,0.0073,0.0087
143.0000,0.0071,0.0074,0.0090
144.0000,0.0072,0.0050,0.0054
145.0000,0.0073,0.0077,0.0090
146.0000,0.0074,0.0078,0.0088
147.0000,0.0075,0.0079,0.0093
148.0000,0.0076,0.0080,0.0093
149.0000,0.0077,0.0081,0.0095
150.0000,0.0079,0.0055,0.0063
151.0000,0.0080,0.0062,0.0066
152.0000,0.0081,0.0084,0.0099
153.0000,0.0082,0.0086,0.0100
154.0000,0.0083,0.0087,0.0102
155.0000,0.0084,0.0088,0.0105
156.0000,0.0085,0.0053,0.0059
157.0000,0.0086,0.0090,0.0106
158.0000,0.0088,0.0092,0.0102
159.0000,0.0089,0.0093,0.0105
160.0000,0.0090,0.0094,0.0113
161.0000,0.0091,0.0096,0.0111
162.0000,0.0093,0.0097,0.0115
163.0000,0.0094,0.0098,0.0116
164.0000,0.0095,0.0074,0.0085
165.0000,0.0097,0.0101,0.0117
166.0000,0.0098,0.0102,0.0119
167.0000,0.0099,0.0104,0.0120
168.0000,0.0101,0.0105,0.0119
169.0000,0.0102,0.0107,0.0149
170.0000,0.0104,0.0108,0.0130
171.0000,0.0105,0.0110,0.0123
172.0000,0.0106,0.0060,0.0068
173.0000,0.0108,0.0113,0.0141
174.0000,0.0109,0.0114,0.0132
175.0000,0.0111,0.0066,0.0076
176.0000,0.0112,0.0118,0.0136
