Idx,w_bc,min-bc-loss,min-total-loss
1.0000,0.0010,0.0007,0.0010
2.0000,0.0010,0.0007,0.0011
3.0000,0.0010,0.0007,0.0011
4.0000,0.0010,0.0007,0.0009
5.0000,0.0011,0.0007,0.0011
6.0000,0.0011,0.0007,0.0011
7.0000,0.0011,0.0007,0.0011
8.0000,0.0011,0.0008,0.0011
9.0000,0.0011,0.0008,0.0011
10.0000,0.0011,0.0008,0.0009
11.0000,0.0011,0.0008,0.0012
12.0000,0.0012,0.0008,0.0014
13.0000,0.0012,0.0008,0.0012
14.0000,0.0012,0.0008,0.0012
15.0000,0.0012,0.0008,0.0012
16.0000,0.0012,0.0008,0.0012
17.0000,0.0012,0.0009,0.0013
18.0000,0.0013,0.0009,0.0017
19.0000,0.0013,0.0006,0.0008
20.0000,0.0013,0.0009,0.0013
21.0000,0.0013,0.0009,0.0013
22.0000,0.0013,0.0009,0.0014
23.0000,0.0014,0.0009,0.0014
24.0000,0.0014,0.0009,0.0032
25.0000,0.0014,0.0010,0.0014
26.0000,0.0014,0.0010,0.0016
27.0000,0.0014,0.0010,0.0016
28.0000,0.0015,0.0010,0.0015
29.0000,0.0015,0.0010,0.0018
30.0000,0.0015,0.0010,0.0023
31.0000,0.0015,0.0010,0.0016
32.0000,0.0015,0.0011,0.0016
33.0000,0.0016,0.0011,0.0016
34.0000,0.0016,0.0011,0.0015
35.0000,0.0016,0.0011,0.0015
36.0000,0.0016,0.0011,0.0015
37.0000,0.0016,0.0011,0.0016
38.0000,0.0017,0.0011,0.0018
39.0000,0.0017,0.0012,0.0037
40.0000,0.0017,0.0012,0.0022
41.0000,0.0017,0.0012,0.0014
42.0000,0.0018,0.0012,0.0016
43.0000,0.0018,0.0012,0.0020
44.0000,0.0018,0.0012,0.0017
45.0000,0.0018,0.0013,0.0021
46.0000,0.0019,0.0013,0.0017
47.0000,0.0019,0.0013,0.0015
48.0000,0.0019,0.0013,0.0017
49.0000,0.0019,0.0013,0.0018
50.0000,0.0020,0.0014,0.0022
51.0000,0.0020,0.0014,0.0020
52.0000,0.0020,0.0014,0.0020
53.0000,0.0021,0.0014,0.0021
54.0000,0.0021,0.0014,0.0019
55.0000,0.0021,0.0015,0.0020
56.0000,0.0021,0.0015,0.0022
57.0000,0.0022,0.0015,0.0020
58.0000,0.0022,0.0015,0.0022
59.0000,0.0022,0.0015,0.0021
