Idx,w_bc,min-bc-loss,min-total-loss
426.0000,0.3601,0.0039,0.0300
427.0000,0.3651,0.3815,0.4237
428.0000,0.3702,0.3868,0.4298
429.0000,0.3753,0.3922,0.4361
430.0000,0.3806,0.3977,0.4421
431.0000,0.3859,0.0038,0.0305
432.0000,0.3913,0.0038,0.0303
433.0000,0.3967,0.4146,0.4603
434.0000,0.4023,0.4204,0.4673
435.0000,0.4079,0.4262,0.4738
436.0000,0.4136,0.0036,0.0310
437.0000,0.4193,0.0025,0.0309
438.0000,0.4252,0.0037,0.0307
439.0000,0.4311,0.0034,0.0380
440.0000,0.4371,0.0036,0.0307
441.0000,0.4432,0.4631,0.5146
442.0000,0.4494,0.0036,0.0311
443.0000,0.4557,0.0035,0.0320
444.0000,0.4620,0.0034,0.0311
445.0000,0.4685,0.4814,0.5438
446.0000,0.4750,0.4964,0.5510
447.0000,0.4816,0.5033,0.5595
448.0000,0.4883,0.0035,0.0312
449.0000,0.4952,0.3168,0.5752
450.0000,0.5021,0.0031,0.0313
451.0000,0.5091,0.5319,0.5905
452.0000,0.5162,0.5394,0.5992
453.0000,0.5234,0.0034,0.0314
454.0000,0.5307,0.0035,0.0315
455.0000,0.5381,0.5622,0.6241
456.0000,0.5456,0.5701,0.6334
457.0000,0.5532,0.5780,0.6416
458.0000,0.5609,0.5861,0.6505
459.0000,0.5687,0.0034,0.0320
460.0000,0.5766,0.0028,0.0318
461.0000,0.5847,0.0034,0.0318
462.0000,0.5928,0.6195,0.6881
463.0000,0.6011,0.6281,0.6971
464.0000,0.6095,0.6369,0.7076
465.0000,0.6180,0.0032,0.0320
466.0000,0.6266,0.6548,0.7274
467.0000,0.6353,0.6639,0.7368
468.0000,0.6442,0.0031,0.0322
469.0000,0.6532,0.6826,0.7575
470.0000,0.6623,0.6921,0.7680
471.0000,0.6715,0.0019,0.0324
472.0000,0.6809,0.7115,0.7904
473.0000,0.6904,0.0030,0.0324
474.0000,0.7000,0.7315,0.8143
475.0000,0.7098,0.7417,0.8252
476.0000,0.7197,0.7520,0.8355
477.0000,0.7297,0.7625,0.8462
478.0000,0.7399,0.7732,0.8580
479.0000,0.7502,0.0024,0.0337
480.0000,0.7607,0.0030,0.0358
481.0000,0.7713,0.0031,0.0330
482.0000,0.7820,0.8172,0.9075
483.0000,0.7930,0.0030,0.0330
484.0000,0.8040,0.0025,0.0329
485.0000,0.8152,0.8519,0.9460
486.0000,0.8266,0.0016,0.0344
487.0000,0.8381,0.0029,0.0330
488.0000,0.8498,0.8880,0.9861
489.0000,0.8617,0.9004,0.9990
490.0000,0.8737,0.9130,1.0141
491.0000,0.8859,0.9257,1.0278
492.0000,0.8982,0.9386,1.0424
493.0000,0.9107,0.9517,1.0569
494.0000,0.9235,0.9650,1.0717
495.0000,0.9363,0.9784,1.0864
496.0000,0.9494,0.9921,1.1015
497.0000,0.9626,1.0059,1.1170
498.0000,0.9761,1.0199,1.1325
499.0000,0.9897,1.0342,1.1505
500.0000,1.0035,0.0024,0.0336
501.0000,1.0175,1.0632,1.1818
502.0000,1.0317,1.0780,1.1959
503.0000,1.0460,1.0931,1.2137
504.0000,1.0606,1.1083,1.2305
505.0000,1.0754,1.1238,1.2476
506.0000,1.0904,1.1394,1.2650
507.0000,1.1056,1.1553,1.2825
508.0000,1.1210,1.1146,1.3008
509.0000,1.1367,1.1878,1.3204
510.0000,1.1525,1.2044,1.3366
511.0000,1.1686,1.2212,1.3570
512.0000,1.1849,1.2382,1.3763
513.0000,1.2014,1.2555,1.3934
514.0000,1.2182,1.2730,1.4114
