Idx,w_bc,min-bc-loss,min-total-loss
158.0000,0.0089,0.0039,0.0042
159.0000,0.0090,0.0041,0.0045
160.0000,0.0091,0.0063,0.0071
161.0000,0.0093,0.0041,0.0048
162.0000,0.0094,0.0065,0.0073
163.0000,0.0095,0.0065,0.0074
164.0000,0.0097,0.0066,0.0075
165.0000,0.0098,0.0067,0.0076
166.0000,0.0099,0.0045,0.0050
167.0000,0.0101,0.0069,0.0115
168.0000,0.0102,0.0070,0.0079
169.0000,0.0104,0.0071,0.0080
170.0000,0.0105,0.0072,0.0081
171.0000,0.0106,0.0073,0.0082
172.0000,0.0108,0.0074,0.0089
173.0000,0.0109,0.0075,0.0084
174.0000,0.0111,0.0076,0.0087
175.0000,0.0112,0.0077,0.0093
176.0000,0.0114,0.0078,0.0088
177.0000,0.0116,0.0054,0.0058
178.0000,0.0117,0.0053,0.0063
179.0000,0.0119,0.0082,0.0092
180.0000,0.0121,0.0049,0.0054
181.0000,0.0122,0.0084,0.0097
182.0000,0.0124,0.0085,0.0098
183.0000,0.0126,0.0086,0.0100
184.0000,0.0127,0.0068,0.0083
185.0000,0.0129,0.0089,0.0100
186.0000,0.0131,0.0063,0.0072
187.0000,0.0133,0.0091,0.0102
188.0000,0.0135,0.0092,0.0104
189.0000,0.0137,0.0094,0.0112
190.0000,0.0138,0.0095,0.0109
191.0000,0.0140,0.0096,0.0145
192.0000,0.0142,0.0061,0.0069
193.0000,0.0144,0.0099,0.0113
194.0000,0.0146,0.0100,0.0113
195.0000,0.0148,0.0102,0.0117
196.0000,0.0150,0.0103,0.0118
197.0000,0.0152,0.0105,0.0120
198.0000,0.0155,0.0106,0.0119
199.0000,0.0157,0.0108,0.0124
200.0000,0.0159,0.0109,0.0125
201.0000,0.0161,0.0052,0.0058
202.0000,0.0163,0.0112,0.0126
203.0000,0.0166,0.0114,0.0128
204.0000,0.0168,0.0077,0.0089
205.0000,0.0170,0.0115,0.0121
206.0000,0.0173,0.0119,0.0133
207.0000,0.0175,0.0120,0.0137
208.0000,0.0178,0.0051,0.0056
209.0000,0.0180,0.0124,0.0139
210.0000,0.0182,0.0090,0.0098
211.0000,0.0185,0.0079,0.0084
212.0000,0.0188,0.0129,0.0144
213.0000,0.0190,0.0131,0.0192
214.0000,0.0193,0.0069,0.0078
215.0000,0.0196,0.0134,0.0151
216.0000,0.0198,0.0136,0.0153
217.0000,0.0201,0.0138,0.0155
218.0000,0.0204,0.0140,0.0159
219.0000,0.0207,0.0056,0.0060
220.0000,0.0210,0.0144,0.0162
221.0000,0.0212,0.0049,0.0062
222.0000,0.0215,0.0148,0.0166
223.0000,0.0218,0.0074,0.0081
224.0000,0.0221,0.0152,0.0173
225.0000,0.0225,0.0154,0.0173
226.0000,0.0228,0.0156,0.0175
227.0000,0.0231,0.0158,0.0178
228.0000,0.0234,0.0103,0.0111
229.0000,0.0237,0.0060,0.0065
230.0000,0.0241,0.0165,0.0185
231.0000,0.0244,0.0092,0.0105
232.0000,0.0247,0.0098,0.0114
233.0000,0.0251,0.0172,0.0193
234.0000,0.0254,0.0104,0.0119
235.0000,0.0258,0.0177,0.0198
236.0000,0.0261,0.0180,0.0201
237.0000,0.0265,0.0182,0.0204
238.0000,0.0269,0.0185,0.0207
239.0000,0.0273,0.0187,0.0212
240.0000,0.0276,0.0190,0.0213
241.0000,0.0280,0.0192,0.0218
242.0000,0.0284,0.0195,0.0266
243.0000,0.0288,0.0160,0.0187
244.0000,0.0292,0.0201,0.0225
245.0000,0.0296,0.0203,0.0281
246.0000,0.0300,0.0206,0.0231
247.0000,0.0304,0.0059,0.0071
248.0000,0.0309,0.0212,0.0240
249.0000,0.0313,0.0215,0.0241
250.0000,0.0317,0.0114,0.0124
251.0000,0.0322,0.0221,0.0247
252.0000,0.0326,0.0136,0.0157
253.0000,0.0331,0.0227,0.0254
254.0000,0.0335,0.0230,0.0258
255.0000,0.0340,0.0233,0.0264
256.0000,0.0345,0.0237,0.0265
257.0000,0.0350,0.0240,0.0269
258.0000,0.0354,0.0110,0.0125
259.0000,0.0359,0.0247,0.0278
260.0000,0.0364,0.0147,0.0168
261.0000,0.0369,0.0254,0.0284
262.0000,0.0375,0.0109,0.0118
263.0000,0.0380,0.0261,0.0292
264.0000,0.0385,0.0264,0.0299
265.0000,0.0390,0.0125,0.0144
266.0000,0.0396,0.0272,0.0304
267.0000,0.0401,0.0276,0.0308
268.0000,0.0407,0.0279,0.0312
269.0000,0.0413,0.0283,0.0317
270.0000,0.0418,0.0087,0.0100
271.0000,0.0424,0.0291,0.0326
272.0000,0.0430,0.0295,0.0413
273.0000,0.0436,0.0299,0.0334
274.0000,0.0442,0.0304,0.0339
275.0000,0.0448,0.0175,0.0202
276.0000,0.0455,0.0108,0.0130
277.0000,0.0461,0.0316,0.0353
278.0000,0.0467,0.0321,0.0358
279.0000,0.0474,0.0325,0.0365
280.0000,0.0480,0.0330,0.0368
281.0000,0.0487,0.0169,0.0190
282.0000,0.0494,0.0154,0.0179
283.0000,0.0501,0.0088,0.0109
284.0000,0.0508,0.0190,0.0205
285.0000,0.0515,0.0353,0.0394
286.0000,0.0522,0.0358,0.0400
287.0000,0.0529,0.0363,0.0405
288.0000,0.0537,0.0368,0.0410
289.0000,0.0544,0.0108,0.0122
290.0000,0.0552,0.0145,0.0159
291.0000,0.0559,0.0384,0.0428
292.0000,0.0567,0.0188,0.0223
293.0000,0.0575,0.0395,0.0440
294.0000,0.0583,0.0400,0.0446
